Province,Ontario,British Columbia,Alberta,Nova Scotia,Saskatchewan,Manitoba,New Brunswick,Prince Edward Island,Newfoundland and Labrador,Yukon,Northwest Territories,Nunavut,Total - All Canada
2015,"7,345","4,380","7,990",650,555,235,140,135,60,10,30,10,"21,545"
2016,"10,170","6,520","5,070","1,185","1,455",185,550,470,85,15,35,0,"25,740"
2017,"44,955","12,190","5,575","1,545","1,255",630,890,410,220,40,35,0,"67,750"
2018,"46,575","14,445","4,810","1,715","1,625","1,070",820,400,190,50,35,0,"71,740"
